symbol,name,industry,enabled
IPCALAB,Ipca Laboratories Ltd.,Healthcare,true
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,true
JKCEMENT,J.K. Cement Ltd.,Construction Materials,true
JBMA,JBM Auto Ltd.,Automobile and Auto Components,true
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,true
JMFINANCIL,JM Financial Ltd.,Financial Services,true
JSWCEMENT,JSW Cement Ltd.,Construction Materials,true
JSWDULUX,JSW Dulux Ltd.,Consumer Durables,true
JSWENERGY,JSW Energy Ltd.,Power,true
JSWINFRA,JSW Infrastructure Ltd.,Services,true
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,true
JAINREC,Jain Resource Recycling Ltd.,Metals & Mining,true
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,true
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,true
JINDALSAW,Jindal Saw Ltd.,Capital Goods,true
JSL,Jindal Stainless Ltd.,Metals & Mining,true
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,true
JIOFIN,Jio Financial Services Ltd.,Financial Services,true
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,true
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,true
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,true
JWL,Jupiter Wagons Ltd.,Capital Goods,true
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,true
KPRMILL,K.P.R. Mill Ltd.,Textiles,true
KEI,KEI Industries Ltd.,Capital Goods,true
KPITTECH,KPIT Technologies Ltd.,Information Technology,true
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,true
KPIL,Kalpataru Projects International Ltd.,Construction,true
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,true
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,true
KAYNES,Kaynes Technology India Ltd.,Capital Goods,true
KEC,Kec International Ltd.,Construction,true
KFINTECH,Kfin Technologies Ltd.,Financial Services,true
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,true
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,true
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,true
LTF,L&T Finance Ltd.,Financial Services,true
LTTS,L&T Technology Services Ltd.,Information Technology,true
LGEINDIA,LG Electronics India Ltd.,Consumer Durables,true
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,true
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,true
LTM,LTM Ltd.,Information Technology,true
LT,Larsen & Toubro Ltd.,Construction,true
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,true
LAURUSLABS,Laurus Labs Ltd.,Healthcare,true
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,true
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,true
LENSKART,Lenskart Solutions Ltd.,Consumer Services,true
LICI,Life Insurance Corporation of India,Financial Services,true
LINDEINDIA,Linde India Ltd.,Chemicals,true
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,true
LODHA,Lodha Developers Ltd.,Realty,true
LUPIN,Lupin Ltd.,Healthcare,true
MMTC,MMTC Ltd.,Services,true
MRF,MRF Ltd.,Automobile and Auto Components,true
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,true
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,true
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,true
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,true
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,true
MANKIND,Mankind Pharma Ltd.,Healthcare,true
MARICO,Marico Ltd.,Fast Moving Consumer Goods,true
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,true
MFSL,Max Financial Services Ltd.,Financial Services,true
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,true
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,true
MEESHO,Meesho Ltd.,Consumer Services,true
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,true
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,true
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,true
MPHASIS,MphasiS Ltd.,Information Technology,true
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,true
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,true
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,true
NBCC,NBCC (India) Ltd.,Construction,true
NCC,NCC Ltd.,Construction,true
NHPC,NHPC Ltd.,Power,true
NLCINDIA,NLC India Ltd.,Power,true
NMDC,NMDC Ltd.,Metals & Mining,true
NSLNISP,NMDC Steel Ltd.,Metals & Mining,true
NTPCGREEN,NTPC Green Energy Ltd.,Power,true
NTPC,NTPC Ltd.,Power,true
NH,Narayana Hrudayalaya Ltd.,Healthcare,true
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,true
NAVA,Nava Ltd.,Power,true
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,true
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,true
NETWEB,Netweb Technologies India Ltd.,Information Technology,true
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,true
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,true
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,true
