symbol,name,industry,series,isin,exchange,trading_symbol,scrip_code,search_aliases,enabled
BSE:526705,Elegant Marbles & Grani Industries Ltd,BSE Equity,X,INE095B01010,BSE,ELEMARB,526705,526705 ELEMARB INE095B01010 Elegant Marbles & Grani Industries Ltd,true
BSE:526709,Bits Ltd,BSE Equity,X,INE839A01021,BSE,BITS,526709,526709 BITS INE839A01021 Bits Ltd,true
BSE:526711,Adarsh Plant Protect Ltd,BSE Equity,X,INE627D01016,BSE,ADARSHPL,526711,526711 ADARSHPL INE627D01016 Adarsh Plant Protect Ltd,true
BSE:526717,HCP Plastene Bulkpack Ltd,BSE Equity,XT,INE136C01044,BSE,HPBL,526717,526717 HPBL INE136C01044 HCP Plastene Bulkpack Ltd,true
BSE:526721,Nicco Parks & Resorts Ltd,BSE Equity,X,INE653C01022,BSE,NICCOPAR,526721,526721 NICCOPAR INE653C01022 Nicco Parks & Resorts Ltd,true
BSE:526723,NTC Industries Ltd,BSE Equity,X,INE920C01017,BSE,NTCIND,526723,526723 NTCIND INE920C01017 NTC Industries Ltd,true
BSE:526727,Garnet Construction Ltd,BSE Equity,X,INE797D01017,BSE,GARNET,526727,526727 GARNET INE797D01017 Garnet Construction Ltd,true
BSE:526731,Bright Brothers Ltd,BSE Equity,X,INE630D01010,BSE,BRIGHTBR,526731,526731 BRIGHTBR INE630D01010 Bright Brothers Ltd,true
BSE:526739,Narmada Gelatines Ltd,BSE Equity,X,INE869A01010,BSE,SHAWGELTIN,526739,526739 SHAWGELTIN INE869A01010 Narmada Gelatines Ltd,true
BSE:526747,PG Foils Ltd,BSE Equity,X,INE078D01012,BSE,PGFOILQ,526747,526747 PGFOILQ INE078D01012 PG Foils Ltd,true
BSE:526751,Gratex Industries Ltd,BSE Equity,X,INE915E01013,BSE,GRATEXI,526751,526751 GRATEXI INE915E01013 Gratex Industries Ltd,true
BSE:526755,Velan Hotels Ltd,BSE Equity,X,INE548D01014,BSE,VELHO,526755,526755 VELHO INE548D01014 Velan Hotels Ltd,true
BSE:526761,Howard Hotels Ltd,BSE Equity,X,INE931B01016,BSE,HOWARHO,526761,526761 HOWARHO INE931B01016 Howard Hotels Ltd,true
BSE:526775,Valiant Communications Ltd,BSE Equity,X,INE760B01019,BSE,VALIANT,526775,526775 VALIANT INE760B01019 Valiant Communications Ltd,true
BSE:526795,Mahasagar Travels Ltd,BSE Equity,ZP,INE007G01014,BSE,MHSGRMS,526795,526795 MHSGRMS INE007G01014 Mahasagar Travels Ltd,true
BSE:526813,Raghunath International Ltd,BSE Equity,X,INE753B01014,BSE,RAGHUNAT,526813,526813 RAGHUNAT INE753B01014 Raghunath International Ltd,true
BSE:526823,Rajeswari Infrastructure Ltd,BSE Equity,Z,INE016C01014,BSE,RAJINFRA,526823,526823 RAJINFRA INE016C01014 Rajeswari Infrastructure Ltd,true
BSE:526827,Spice Islands Industries Ltd,BSE Equity,XT,INE882D01017,BSE,SPICEISLIN,526827,526827 SPICEISLIN INE882D01017 Spice Islands Industries Ltd,true
BSE:526839,Shelter Infra Projects Ltd,BSE Equity,X,INE413C01013,BSE,SIPL,526839,526839 SIPL INE413C01013 Shelter Infra Projects Ltd,true
